7486_7	7486_8	7486_9	7486_10	7486_17	7486_18	7486_19	7486_20
DDX11L1	0	0	0	0	0	0	0	0
WASH7P	20	6	11	18	10	12	15	7
MIR6859-1	55	54	57	50	48	48	46	33
RP11-34P13.3	0	0	0	0	0	0	0	0
MIR1302-2	0	0	0	0	0	0	0	0
FAM138A	0	0	0	0	0	0	0	0
OR4G4P	0	0	0	0	0	0	0	0
OR4G11P	0	0	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0	0	0
RP11-34P13.7	0	0	3	0	1	0	0	0
RP11-34P13.8	0	0	0	0	0	0	0	0
RP11-34P13.10	2	1	3	5	1	1	1	1
RP11-34P13.15	2	6	10	7	5	3	2	1
RP11-34P13.16	1	6	2	9	4	3	7	3
RP11-34P13.14	0	0	0	0	1	0	0	0
RP11-34P13.13	9	7	6	7	10	16	16	9
RNU6-1100P	0	0	0	0	0	0	0	0
RP11-34P13.9	0	0	0	0	0	0	0	0
ABC7-43046700E7.1	25	17	10	18	12	13	16	18
RP11-34P13.18	212	177	179	236	140	166	170	179
MIR6859-2	0	0	0	0	0	0	0	0
AP006222.1	6	7	11	10	13	7	6	4
RPL23AP24	0	0	0	0	0	0	0	0
RP4-669L17.2	0	0	0	0	0	0	0	0
RP4-669L17.4	51	35	45	48	27	29	37	28
RP4-669L17.6	0	0	0	0	0	0	0	0
OR4F29	0	0	0	0	0	0	0	0
CICP7	0	0	0	0	0	0	0	0
RP4-669L17.8	0	0	0	0	0	0	0	0
RF00026	19	12	13	24	9	9	8	6
RP11-206L10.17	15	16	15	28	17	27	22	14
RP5-857K21.2	0	0	0	0	0	0	0	0
RP5-857K21.9	3	0	4	2	2	5	4	0
RP5-857K21.8	1476	1391	1686	1898	1719	1378	1863	1243
RP5-857K21.6	1396	1119	2782	1841	2568	1520	1474	1100
MIR6723	0	0	0	0	0	0	0	0
RP5-857K21.7	18	19	25	21	25	25	28	19
RP5-857K21.14	0	0	0	0	0	0	0	0
RP5-857K21.10	19418	16819	21705	23428	22795	20006	24440	16329
RP5-857K21.11	20	13	17	14	24	18	22	19
RP5-857K21.12	0	0	0	0	0	0	0	0
OR4F16	0	0	0	0	0	0	0	0
RP11-206L10.15	9	10	5	8	8	6	4	4
RP11-206L10.2	513	442	566	593	454	473	475	409
